zi,chaizi
傐,⿰亻高
傑,⿰亻桀
傒,⿰亻奚
傓,⿰亻扇
傔,⿰亻兼
傕,⿰亻隺
傖,⿰亻倉
傗,⿰亻畜
傘,⿻个⿱从丛
備,⿰亻𤰇
傚,⿰亻效
傛,⿰亻容
傜,⿰亻䍃
傝,⿰亻𦐇
傞,⿰亻差
傟,⿰亻翁
傠,⿰亻討
傡,⿰亻竝
傢,⿰亻家
傣,⿰亻泰
傤,⿰亻载
傥,⿰亻党
傦,⿰亻骨
傧,⿰亻宾
储,⿰亻诸
傩,⿰亻难
傪,⿰亻參
傫,⿰亻累
催,⿰亻崔
傭,⿰亻庸
傮,⿰亻曹
傯,⿰亻悤
傰,⿰亻崩
傱,⿰亻從
傲,⿰亻敖
傳,⿰亻專
傴,⿰亻區
債,⿰亻責
傶,⿰亻戚
傷,⿰亻𬀷
傸,⿰亻爽
傹,⿰亻竟
傺,⿰亻祭
傻,⿰亻𡕩
傼,⿰亻𦰩
傽,⿰亻章
傾,⿰亻頃
傿,⿰亻焉
僀,⿰亻帶
僁,⿰亻悉
僂,⿰亻婁
僃,⿰亻𤰈
僄,⿰亻票
僅,⿰亻堇
僆,⿰亻連
僇,⿰亻翏
僈,⿰亻曼
僉,⿳亼吅从
僊,⿰亻䙴
僋,⿰亻貪
僌,⿰俥攵
働,⿰亻動
僎,⿰亻巽
像,⿰亻象
僐,⿰亻善
僑,⿰亻喬
僒,⿰亻窘
僓,⿰亻貴
僔,⿰亻尊
僕,⿰亻菐
僖,⿰亻喜
僗,⿰亻勞
僘,⿰亻敞
僙,⿰亻黄
僚,⿰亻尞
僛,⿰亻欺
僜,⿰亻登
僝,⿰亻孱
僞,⿰亻爲
僟,⿰亻幾
僠,⿰亻番
僡,⿰亻惠
僢,⿰亻舜
僣,⿰亻替
僤,⿰亻單
僥,⿰亻堯
僦,⿰亻就
僧,⿰亻曾
僨,⿰亻賁
僩,⿰亻閒
僪,⿰亻矞
僫,⿰亻惡
僬,⿰亻焦
